card,gbifID,x,y,outcome,notes
1,4119244653,2718351.006490625,1115021.1001514988,no_streetview,
2,2878428315,2718414.170434993,1115266.9455108498,palm_confirmed,"vineyard, 3 palms unoccluded"
3,2882134814,2718311.7340567326,1115212.6858948255,palm_confirmed,"mixed occlusion, one side occluded"
4,2878500908,2718461.647193987,1115287.8875308384,no_palm,
5,2881338863,2718262.0050825537,1115188.3654940573,palm_confirmed,several palms
6,5076212522,2718469.705080658,1115310.2824894355,no_palm,same area as 2/3/5
7,2878910768,2718436.647268148,1115262.937528317,no_palm,same area
8,2878809681,2718386.9409207,1115237.5046597456,no_palm,same area
9,4119639673,2718417.657392509,1115049.0876827722,no_streetview,
10,2878896988,2718011.87506799,1115063.4051926483,palm_confirmed,
11,2878336886,2718337.212444113,1115213.1836416323,palm_confirmed,already covered
12,4119651821,2718345.88412602,1115006.5457903142,no_streetview,
13,2881318936,2718237.0039238464,1115163.416314367,palm_confirmed,already covered
14,2882149743,2718487.1252647024,1115288.3859085008,no_palm,
15,2878506822,2718286.9378991947,1115137.70649759,no_streetview,
16,2881887811,2718111.813462431,1115087.590536686,no_palm,
17,2881397925,2718462.125443897,1115263.4358007887,no_palm,same location as others
18,2878803787,2718411.647134397,1115237.987628644,no_palm,same location
19,4118678790,2718434.3826492745,1115062.7571095405,no_streetview,
20,2878773737,2718062.082671058,1115063.2717761174,no_palm,
21,2880962791,2718361.940477188,1115212.5549649284,palm_confirmed,already covered
22,2878812874,2718411.9702663976,1115063.4307730305,no_streetview,
23,2878786881,2718137.292376519,1115088.0874422288,no_palm,
24,4118602959,2718433.9719386664,1115241.7597334946,no_palm,
25,4119688626,2718405.0214436366,1115063.294927413,no_streetview,
26,4119200637,2718460.0266282707,1115252.2760759215,no_palm,
27,4118686755,2718492.834123899,1115272.9314485136,no_palm,
28,2878855790,2718261.936624045,1115112.7572141832,no_streetview,
29,2880978773,2718236.7308721268,1115137.8380494025,palm_confirmed,no coords given
30,2881262954,2718086.8112652195,1115062.6419756329,no_palm,
31,4119824819,2718294.851128634,1115048.9116884393,no_streetview,
32,2881419909,2718437.125415181,1115238.485795924,no_palm,
33,2878370387,2718346.0527128847,1115195.5664972125,palm_confirmed,already covered
34,4118626033,2718431.014060928,1115235.0306910172,no_palm,
35,4119479933,2718288.916189517,1115115.507794751,no_streetview,
36,4118645935,2718347.973540554,1115057.732505664,no_streetview,
37,4119516943,2718287.108490129,1115049.8723417749,no_streetview,
38,4119831865,2718313.331146963,1115170.4661474994,no_streetview,
39,2878896989,2718386.646792736,1115213.0378318196,no_palm,
40,2882179376,2718347.618579374,1115194.4852266463,palm_confirmed,already covered
41,4119224730,2718480.698508996,1115261.5753636863,no_palm,
42,2878477791,2718336.9398257667,1115187.6053729614,palm_confirmed,already covered
43,2878533915,2718311.9389664354,1115162.6558838503,no_streetview,
44,4118604028,2718435.6899453797,1115232.8983889364,no_palm,
45,2881397924,2718486.853294855,1115262.8076343015,no_palm,
46,4119224729,2718369.1280634105,1115200.4648918395,palm_confirmed,already covered
47,2881887812,2718012.3731398205,1115037.841979599,no_palm,wall blocks view
48,4118686754,2718380.62227832,1115205.1370073603,palm_confirmed,already covered
49,2881338866,2718162.020883214,1115087.4579489478,palm_confirmed,
50,4119126832,2718448.7499233643,1115236.489386351,no_palm,
51,2881184914,2718487.178620247,1115088.2507856116,no_streetview,
52,4118678792,2718493.029822624,1115262.9284690074,no_palm,
53,4119240835,2718312.97157547,1115149.3336508437,no_streetview,
54,4119831866,2718382.960222218,1115204.0708363927,no_streetview,
55,2880978771,2718311.64452029,1115138.189058466,no_streetview,
56,2882169859,2718037.0801687725,1115038.3234200426,no_palm,
57,2880966877,2718112.290284336,1115063.138775976,no_palm,
58,2878357834,2718211.729394775,1115112.888973312,palm_confirmed,already covered
59,2878853844,2718237.20820228,1115113.3862993396,no_streetview,
60,2881905524,2718387.6143877683,1115203.0499397498,no_streetview,
